epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1,micro_f1,macro_f1,epoch_time_s,lr
1,0.649096,0.637841,0.656454,0.655681,0.658787,0.907932,0.763550,,,1031.4,0.005000
2,0.624304,0.655613,0.645333,0.607979,0.805288,0.474504,0.597148,,,1079.2,0.005000
3,0.612177,0.672735,0.571608,0.712056,0.760446,0.773371,0.766854,,,1046.7,0.005000
4,0.597673,0.692674,0.583822,0.718127,0.779736,0.752125,0.765681,,,1175.4,0.005000
5,0.585080,0.695492,0.591191,0.695577,0.682801,0.939093,0.790698,,,1218.7,0.005000
6,0.590602,0.700260,0.549080,0.737207,0.734575,0.893768,0.806390,,,1055.7,0.005000
7,0.562990,0.721066,0.498876,0.770165,0.788991,0.852691,0.819605,,,1058.7,0.005000
8,0.541419,0.742523,0.506558,0.771032,0.761229,0.912181,0.829897,,,1060.1,0.005000
9,0.534434,0.755527,0.538496,0.738942,0.731959,0.905099,0.809373,,,1061.0,0.005000
10,0.519058,0.757694,0.473394,0.790113,0.830484,0.825779,0.828125,,,1062.0,0.005000
11,0.489630,0.773515,0.449429,0.800520,0.810705,0.879603,0.843750,,,1062.3,0.005000
12,0.474076,0.788253,0.439854,0.803122,0.795314,0.913598,0.850363,,,1041.1,0.005000
13,0.472309,0.790204,0.436595,0.797051,0.825069,0.848442,0.836592,,,1038.2,0.005000
14,0.466361,0.800607,0.492586,0.774501,0.763593,0.915014,0.832474,,,1037.5,0.005000
15,0.428555,0.808192,0.457118,0.804857,0.785291,0.937677,0.854745,,,1039.5,0.005000
16,0.410681,0.826831,0.402685,0.834345,0.867332,0.861190,0.864250,,,1039.7,0.005000
17,0.412232,0.824014,0.457859,0.826539,0.857345,0.859773,0.858557,,,1040.0,0.005000
18,0.390599,0.834850,0.409306,0.839549,0.844122,0.905099,0.873548,,,1040.7,0.005000
19,0.395453,0.834850,0.400915,0.844753,0.861454,0.889518,0.875261,,,1040.2,0.005000
20,0.361284,0.847204,0.426037,0.833478,0.826142,0.922096,0.871486,,,1040.9,0.005000
21,0.356675,0.847638,0.360618,0.865568,0.865870,0.923513,0.893763,,,1040.8,0.005000
22,0.359122,0.857174,0.374386,0.851691,0.895126,0.858357,0.876356,,,1041.2,0.005000
23,0.345796,0.855007,0.416654,0.830876,0.818976,0.929178,0.870604,,,1040.7,0.005000
24,0.328068,0.863893,0.370887,0.853426,0.876578,0.885269,0.880902,,,1042.0,0.005000
25,0.336269,0.861725,0.325402,0.872507,0.883402,0.912181,0.897561,,,1108.2,0.005000
26,0.314259,0.870611,0.404100,0.865568,0.858257,0.934844,0.894915,,,1067.9,0.005000
27,0.311995,0.871261,0.388366,0.865568,0.862978,0.927762,0.894198,,,1049.8,0.005000
28,0.292400,0.888383,0.388278,0.869037,0.907489,0.875354,0.891132,,,1049.6,0.005000
29,0.308306,0.880581,0.465221,0.835212,0.843085,0.898017,0.869684,,,1050.4,0.005000
30,0.292536,0.885782,0.423523,0.843018,0.845850,0.909348,0.876451,,,1049.8,0.005000
